Time,Team,Cap,Cap Number,Player Name,Action,Action Detail,Score,teams_in_game
--:--,USC (M),,,Sprint (winner),,,,USC (M) California (M)
--:--,USC (M),12,Max Miller,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),28,Zach Bettino,Steal,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Turnover,,,,USC (M) California (M)
6:52,USC (M),12,Max Miller,Goal - 6 on 5,1-0,,,USC (M) California (M)
6:54,California (M),9,Jake Howerton,Exclusion,,,,USC (M) California (M)
6:35,USC (M),12,Max Miller,Exclusion,,,,USC (M) California (M)
6:35,California (M),7,Albert Ponferrada,Earned Exclusion,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Assist,,,,USC (M) California (M)
6:26,California (M),10,Max Casabella,Goal - 6 on 5,1-1,,,USC (M) California (M)
--:--,California (M),HC,Kirk Everist,Yellow Card,,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Assist,,,,USC (M) California (M)
--:--,USC (M),HC,Marko Pintaric,Yellow Card,,,,USC (M) California (M)
6:13,USC (M),23,Andrej Grgurevic,Earned Penalty,,,,USC (M) California (M)
6:13,California (M),10,Max Casabella,Penalty,,,,USC (M) California (M)
6:13,USC (M),10,Massimo Di Martire,Goal - Penalty,2-1,,,USC (M) California (M)
5:51,California (M),4,Nikolaos Papanikolaou,Goal - Natural,2-2,,,USC (M) California (M)
5:11,USC (M),17,Zac Crenshaw,Exclusion,,,,USC (M) California (M)
--:--,California (M),8,Garrett Dunn,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
--:--,California (M),3,Wyatt Mundelius,Missed Shot,,,,USC (M) California (M)
4:48,California (M),3,Wyatt Mundelius,Exclusion,,,,USC (M) California (M)
--:--,California (M),4,Nikolaos Papanikolaou,Missed Shot,,,,USC (M) California (M)
--:--,California (M),14,Warren Loth,Turnover,,,,USC (M) California (M)
--:--,USC (M),12,Max Miller,Steal,,,,USC (M) California (M)
2:50,USC (M),6,Carson Kranz,Exclusion,,,,USC (M) California (M)
2:50,California (M),2,Roberto Valera,Earned Exclusion,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Missed Shot,,,,USC (M) California (M)
--:--,California (M),8,Garrett Dunn,Missed Shot,,,,USC (M) California (M)
1:46,California (M),14,Warren Loth,Exclusion,,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Missed Shot,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Block,,,,USC (M) California (M)
1:16,USC (M),7,Tom McGuire,Exclusion,,,,USC (M) California (M)
1:16,California (M),4,Nikolaos Papanikolaou,Earned Exclusion,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Assist,,,,USC (M) California (M)
1:00,California (M),4,Nikolaos Papanikolaou,Goal - 6 on 5,2-3,,,USC (M) California (M)
--:--,California (M),16,Jake Stone,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
0:02,USC (M),10,Massimo Di Martire,Goal - Natural,3-3,,,USC (M) California (M)
--:--,California (M),10,Max Casabella,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),,,Sprint (winner),,,,USC (M) California (M)
--:--,USC (M),12,Max Miller,Turnover,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Steal,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
6:48,USC (M),12,Max Miller,Goal - Natural,4-3,,,USC (M) California (M)
6:24,USC (M),5,Luka Brnetic,Exclusion,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
--:--,USC (M),28,Zach Bettino,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
5:42,California (M),,,Time Out - Full,,,,USC (M) California (M)
--:--,USC (M),HC,Marko Pintaric,Yellow/Red Card,,,,USC (M) California (M)
5:42,USC (M),10,Massimo Di Martire,Exclusion,,,,USC (M) California (M)
5:17,California (M),10,Max Casabella,Goal - 6 on 5,4-4,,,USC (M) California (M)
5:07,California (M),24,George Avakian,Exclusion,,,,USC (M) California (M)
5:07,USC (M),19,Tony Nardelli,Earned Exclusion,,,,USC (M) California (M)
--:--,USC (M),19,Tony Nardelli,Missed Shot,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Block,,,,USC (M) California (M)
--:--,California (M),16,Jake Stone,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
5:07,California (M),11,Jordi Gascon,Exclusion,,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),8,Reed Stemler,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Turnover,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Steal,,,,USC (M) California (M)
--:--,California (M),15,Nik Mirkovic,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),7,Tom McGuire,Block,,,,USC (M) California (M)
--:--,USC (M),7,Tom McGuire,Missed Shot,,,,USC (M) California (M)
--:--,California (M),9,Jake Howerton,Block,,,,USC (M) California (M)
--:--,USC (M),19,Tony Nardelli,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
2:45,California (M),15,Nik Mirkovic,Goal - Natural,4-5,,,USC (M) California (M)
--:--,USC (M),23,Andrej Grgurevic,Turnover,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Steal,,,,USC (M) California (M)
2:19,USC (M),5,Luka Brnetic,Exclusion,,,,USC (M) California (M)
2:19,California (M),4,Nikolaos Papanikolaou,Earned Exclusion,,,,USC (M) California (M)
--:--,California (M),12,Marton Szatmary,Turnover,,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Steal,,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Turnover,,,,USC (M) California (M)
--:--,California (M),4,Nikolaos Papanikolaou,Steal,,,,USC (M) California (M)
--:--,California (M),12,Marton Szatmary,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),21,Connor Cohen,Block,,,,USC (M) California (M)
0:57,California (M),8,Garrett Dunn,Exclusion,,,,USC (M) California (M)
0:39,USC (M),12,Max Miller,Goal - 6 on 5,5-5,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Assist,,,,USC (M) California (M)
0:25,USC (M),28,Zach Bettino,Exclusion,,,,USC (M) California (M)
0:25,California (M),2,Roberto Valera,Earned Exclusion,,,,USC (M) California (M)
0:25,California (M),2,Roberto Valera,Exclusion - Misconduct,,,,USC (M) California (M)
0:25,USC (M),28,Zach Bettino,Earned Exclusion,,,,USC (M) California (M)
0:24,USC (M),6,Carson Kranz,Goal - Penalty,6-5,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
--:--,USC (M),,,Sprint (winner),,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Missed Shot,,,,USC (M) California (M)
7:26,USC (M),23,Andrej Grgurevic,Exclusion,,,,USC (M) California (M)
7:26,California (M),4,Nikolaos Papanikolaou,Earned Exclusion,,,,USC (M) California (M)
